image,animal,species,condition,region
WT_control_cerebellum_4x_28.tif,F58,wt,control,cerebellum
WT_control_cerebellum_4x_29.tif,UNKNOWN,wt,control,cerebellum
WT_control_cerebellum_4x_30.tif,F58,wt,control,cerebellum
WT_control_cerebellum_4x_31.tif,F50,wt,control,cerebellum
WT_control_cerebellum_4x_32.tif,F50,wt,control,cerebellum
WT_control_cerebellum_4x_33.tif,G750,wt,control,cerebellum
WT_control_cerebellum_4x_34.tif,L017,wt,control,cerebellum
WT_control_cerebellum_4x_35.tif,L017,wt,control,cerebellum
WT_control_cerebellum_4x_36.tif,N161,wt,control,cerebellum
WT_control_cerebellum_4x_37.tif,N161,wt,control,cerebellum
WT_control_cerebellum_4x_38.tif,N161,wt,control,cerebellum
WT_control_cerebellum_4x_39.tif,N161,wt,control,cerebellum
WT_control_cerebellum_4x_40.tif,L1533,wt,control,cerebellum
WT_control_cerebellum_4x_41.tif,N4533,wt,control,cerebellum
WT_control_cerebellum_4x_42.tif,D18,wt,control,cerebellum
WT_control_cerebellum_4x_43.tif,N4374,wt,control,cerebellum
WT_control_cerebellum_4x_44.tif,N4374,wt,control,cerebellum
WT_control_cerebellum_4x_45.tif,N4373,wt,control,cerebellum
WT_control_cerebellum_4x_46.tif,UNKNOWN,wt,control,cerebellum
WT_control_hippocampus_4x_01.tif,N1536,wt,control,hippocampus
WT_control_hippocampus_4x_02.tif,N5037,wt,control,hippocampus
WT_control_hippocampus_4x_03.tif,N5037,wt,control,hippocampus
WT_control_hippocampus_4x_04.tif,N5037,wt,control,hippocampus
WT_control_hippocampus_4x_05.tif,B10,wt,control,hippocampus
WT_control_hippocampus_4x_06.tif,UNKNOWN,wt,control,hippocampus
WT_control_hippocampus_4x_07.tif,UNKNOWN,wt,control,hippocampus
WT_control_hippocampus_4x_08.tif,UNKNOWN,wt,control,hippocampus
WT_control_hippocampus_4x_09.tif,UNKNOWN,wt,control,hippocampus
WT_control_hippocampus_4x_10.tif,UNKNOWN,wt,control,hippocampus
WT_control_hippocampus_4x_11.tif,UNKNOWN,wt,control,hippocampus
WT_control_hippocampus_4x_12.tif,UNKNOWN,wt,control,hippocampus
WT_control_hippocampus_4x_13.tif,UNKNOWN,wt,control,hippocampus
WT_control_hippocampus_4x_14.tif,F58,wt,control,hippocampus
WT_control_hippocampus_4x_15.tif,F58,wt,control,hippocampus
WT_control_hippocampus_4x_16.tif,F58,wt,control,hippocampus
WT_control_hippocampus_4x_17.tif,F58,wt,control,hippocampus
WT_control_hippocampus_4x_18.tif,UNKNOWN,wt,control,hippocampus
WT_control_hippocampus_4x_19.tif,UNKNOWN,wt,control,hippocampus
WT_control_hippocampus_4x_20.tif,F58,wt,control,hippocampus
WT_control_hippocampus_4x_21.tif,F50,wt,control,hippocampus
WT_control_hippocampus_4x_22.tif,G750,wt,control,hippocampus
WT_control_hippocampus_4x_23.tif,L017,wt,control,hippocampus
WT_control_hippocampus_4x_24.tif,L017,wt,control,hippocampus
WT_control_hippocampus_4x_25.tif,L017,wt,control,hippocampus
WT_control_hippocampus_4x_26.tif,N161,wt,control,hippocampus
WT_control_hippocampus_4x_27.tif,N161,wt,control,hippocampus
WT_control_hippocampus_4x_28.tif,L1533,wt,control,hippocampus
WT_control_hippocampus_4x_29.tif,N4533,wt,control,hippocampus
WT_control_hippocampus_4x_30.tif,D18,wt,control,hippocampus
WT_control_hippocampus_4x_31.tif,N4374,wt,control,hippocampus
WT_control_hippocampus_4x_32.tif,N4373,wt,control,hippocampus
WT_control_hippocampus_4x_33.tif,UNKNOWN,wt,control,hippocampus
WT_control_midbrain_4x_01.tif,N1536,wt,control,midbrain
WT_control_midbrain_4x_02.tif,N5037,wt,control,midbrain
WT_control_midbrain_4x_03.tif,N5037,wt,control,midbrain
WT_control_midbrain_4x_04.tif,N5037,wt,control,midbrain
WT_control_midbrain_4x_05.tif,B10,wt,control,midbrain
WT_control_midbrain_4x_06.tif,D18,wt,control,midbrain
WT_control_midbrain_4x_07.tif,UNKNOWN,wt,control,midbrain
WT_control_midbrain_4x_08.tif,UNKNOWN,wt,control,midbrain
WT_control_midbrain_4x_09.tif,UNKNOWN,wt,control,midbrain
WT_control_midbrain_4x_10.tif,UNKNOWN,wt,control,midbrain
WT_control_midbrain_4x_11.tif,UNKNOWN,wt,control,midbrain
WT_control_midbrain_4x_12.tif,UNKNOWN,wt,control,midbrain
WT_control_midbrain_4x_13.tif,UNKNOWN,wt,control,midbrain
WT_control_midbrain_4x_14.tif,UNKNOWN,wt,control,midbrain
WT_control_midbrain_4x_15.tif,F58,wt,control,midbrain
WT_control_midbrain_4x_16.tif,F58,wt,control,midbrain
WT_control_midbrain_4x_17.tif,F58,wt,control,midbrain
WT_control_midbrain_4x_18.tif,F58,wt,control,midbrain
WT_control_midbrain_4x_19.tif,G750,wt,control,midbrain
WT_control_midbrain_4x_20.tif,L017,wt,control,midbrain
WT_control_midbrain_4x_21.tif,L017,wt,control,midbrain
WT_control_midbrain_4x_22.tif,L017,wt,control,midbrain
WT_control_midbrain_4x_23.tif,N161,wt,control,midbrain
WT_control_midbrain_4x_24.tif,N161,wt,control,midbrain
WT_control_midbrain_4x_25.tif,L1533,wt,control,midbrain
WT_control_midbrain_4x_26.tif,N4533,wt,control,midbrain
WT_control_midbrain_4x_27.tif,D18,wt,control,midbrain
WT_control_midbrain_4x_28.tif,N4374,wt,control,midbrain
WT_control_midbrain_4x_29.tif,N4373,wt,control,midbrain
WT_control_midbrain_4x_30.tif,UNKNOWN,wt,control,midbrain
WT_control_septum_4x_01.tif,N1536,wt,control,septum
WT_control_septum_4x_02.tif,N4533,wt,control,septum
WT_control_septum_4x_03.tif,N5037,wt,control,septum
WT_control_septum_4x_04.tif,N5037,wt,control,septum
WT_control_septum_4x_05.tif,N5037,wt,control,septum
WT_control_septum_4x_06.tif,B10,wt,control,septum
WT_control_septum_4x_07.tif,D18,wt,control,septum
WT_control_septum_4x_08.tif,UNKNOWN,wt,control,septum
WT_control_septum_4x_09.tif,UNKNOWN,wt,control,septum
WT_control_septum_4x_10.tif,UNKNOWN,wt,control,septum
WT_control_septum_4x_11.tif,UNKNOWN,wt,control,septum
WT_control_septum_4x_12.tif,UNKNOWN,wt,control,septum
WT_control_septum_4x_13.tif,UNKNOWN,wt,control,septum
WT_control_septum_4x_14.tif,UNKNOWN,wt,control,septum
WT_control_septum_4x_15.tif,F58,wt,control,septum
WT_control_septum_4x_16.tif,F58,wt,control,septum
WT_control_septum_4x_17.tif,F58,wt,control,septum
WT_control_septum_4x_18.tif,F58,wt,control,septum
WT_control_septum_4x_19.tif,F58,wt,control,septum
WT_control_septum_4x_20.tif,UNKNOWN,wt,control,septum
WT_control_septum_4x_21.tif,UNKNOWN,wt,control,septum
WT_control_septum_4x_22.tif,F58,wt,control,septum
WT_control_septum_4x_23.tif,F50,wt,control,septum
WT_control_septum_4x_24.tif,G750,wt,control,septum
WT_control_septum_4x_25.tif,L017,wt,control,septum
WT_control_septum_4x_26.tif,L017,wt,control,septum
WT_control_septum_4x_27.tif,N161,wt,control,septum
WT_control_septum_4x_28.tif,N161,wt,control,septum
WT_control_septum_4x_29.tif,L1533,wt,control,septum
WT_control_septum_4x_30.tif,N4533,wt,control,septum
WT_control_septum_4x_31.tif,D18,wt,control,septum
WT_control_septum_4x_32.tif,N4374,wt,control,septum
WT_control_septum_4x_33.tif,N4373,wt,control,septum
WT_control_septum_4x_34.tif,UNKNOWN,wt,control,septum
